,p_steam,Theta,CAH,k_coat,delta_coat,N_s,alpha,bond
6522,231.2744140625,168.9404296875,8.25732421875,9.01904296875,1.7228759765624998e-05,666504.2397460938,8078.175748456126,0.0025306062788613415
6523,231.2744140625,168.9404296875,8.25732421875,9.01904296875,1.7228759765624998e-05,645996.4477539062,8074.58633078463,0.0025306062788613415
6524,4514.1845703125,73.3154296875,81.69970703125,0.89384765625,2.8582958984375e-05,916503.9897460938,8996.863390820019,1.972250436196134
6525,3943.7744140625,73.3154296875,81.69970703125,0.89384765625,2.8582958984375e-05,916503.9897460938,8977.165093286108,1.9722504361961348
6526,4514.1845703125,126.4404296875,81.69970703125,0.89384765625,2.8582958984375e-05,916503.9897460938,7063.848912735082,0.45261374263108795
6527,4514.1845703125,73.3154296875,30.50732421875,0.89384765625,2.8582958984375e-05,916503.9897460938,10346.503644948836,0.7933063538138543
6528,4514.1845703125,73.3154296875,81.69970703125,6.569042968750001,2.8582958984375e-05,916503.9897460938,33485.7449676445,1.972250436196134
6529,4514.1845703125,73.3154296875,81.69970703125,0.89384765625,4.753759765625e-06,916503.9897460938,29417.3093455976,1.972250436196134
6530,4514.1845703125,73.3154296875,81.69970703125,0.89384765625,2.8582958984375e-05,895996.1977539062,8995.69819182403,1.972250436196134
6531,4514.1845703125,126.4404296875,30.50732421875,6.569042968750001,4.753759765625e-06,895996.1977539062,94137.29143560448,0.18205667559401326
6532,3943.7744140625,73.3154296875,30.50732421875,6.569042968750001,4.753759765625e-06,895996.1977539062,119421.66824531679,0.7933063538138547
6533,3943.7744140625,126.4404296875,81.69970703125,6.569042968750001,4.753759765625e-06,895996.1977539062,80782.399580018,0.45261374263108817
6534,3943.7744140625,126.4404296875,30.50732421875,0.89384765625,4.753759765625e-06,895996.1977539062,26761.879687904107,0.18205667559401328
6535,3943.7744140625,126.4404296875,30.50732421875,6.569042968750001,2.8582958984375e-05,895996.1977539062,30475.62820278587,0.18205667559401328
6536,3943.7744140625,126.4404296875,30.50732421875,6.569042968750001,4.753759765625e-06,916503.9897460938,93947.5659092371,0.18205667559401328
6537,3943.7744140625,126.4404296875,30.50732421875,6.569042968750001,4.753759765625e-06,895996.1977539062,93893.99038794555,0.18205667559401328
6538,2039.1845703125,158.3154296875,37.19970703125,5.7938476562500005,3.6329589843749998e-06,416504.48974609375,33158.02233606599,0.041736860818067635
6539,1468.7744140625,158.3154296875,37.19970703125,5.7938476562500005,3.6329589843749998e-06,416504.48974609375,32961.47758446212,0.04173686081806765
6540,2039.1845703125,41.4404296875,37.19970703125,5.7938476562500005,3.6329589843749998e-06,416504.48974609375,67774.94507613663,3.0965565410667666
6541,2039.1845703125,158.3154296875,75.00732421875,5.7938476562500005,3.6329589843749998e-06,416504.48974609375,29442.673675130885,0.08637182145377206
6542,2039.1845703125,158.3154296875,37.19970703125,1.6690429687500001,3.6329589843749998e-06,416504.48974609375,15145.207110486788,0.041736860818067635
6543,2039.1845703125,158.3154296875,37.19970703125,5.7938476562500005,2.9703759765625e-05,416504.48974609375,8639.541413501305,0.041736860818067635
6544,2039.1845703125,158.3154296875,37.19970703125,5.7938476562500005,3.6329589843749998e-06,395996.69775390625,33110.74511279041,0.041736860818067635
6545,2039.1845703125,41.4404296875,75.00732421875,1.6690429687500001,2.9703759765625e-05,395996.69775390625,7161.256015877241,5.910583161670365
6546,1468.7744140625,158.3154296875,75.00732421875,1.6690429687500001,2.9703759765625e-05,395996.69775390625,3307.6382493827477,0.08637182145377206
6547,1468.7744140625,41.4404296875,37.19970703125,1.6690429687500001,2.9703759765625e-05,395996.69775390625,7876.636209049262,3.0965565410667666
6548,1468.7744140625,41.4404296875,75.00732421875,5.7938476562500005,2.9703759765625e-05,395996.69775390625,16184.186384238252,5.910583161670365
6549,1468.7744140625,41.4404296875,75.00732421875,1.6690429687500001,3.6329589843749998e-06,395996.69775390625,28018.746693163695,5.910583161670365
